,id,host_id,neighbourhood_group,neighbourhood,room_type,price,latitude,longitude,minimum_nights,number_of_reviews,availability_365,host_name
9369,27799271,20507112,Carabanchel,San Isidro,Entire home/apt,73,40.3931,-3.72591,1,2,0,Sara
9370,27801615,209913894,Centro,Sol,Entire home/apt,89,40.416579999999996,-3.70696,1,39,199,Fernando
9371,27802050,596469,Centro,Justicia,Entire home/apt,256,40.425059999999995,-3.69484,1,3,44,Gabriel Avalos
9372,27807431,202764267,Centro,Justicia,Entire home/apt,226,40.425129999999996,-3.69815,3,138,0,Victoria & Dani
9373,27810889,102947901,Centro,Justicia,Entire home/apt,106,40.42655,-3.6998,1,1,353,Claudia
9374,27818871,195849171,Carabanchel,Buenavista,Private room,18,40.36332,-3.7609800000000004,1,24,357,Alis
9375,27819111,99018982,Centro,Palacio,Entire home/apt,105,40.41281,-3.70879,1,2,68,Alterhome
9376,27819112,99018982,Centro,Palacio,Entire home/apt,100,40.41281,-3.70879,1,8,310,Alterhome
9377,27820967,45621438,Centro,Embajadores,Entire home/apt,61,40.40821,-3.6982199999999996,2,23,62,Miguel
9378,27821435,41858748,Centro,Palacio,Private room,32,40.41252,-3.70974,1,42,61,Emmy
9379,27821555,209747890,Centro,Sol,Private room,26,40.41872,-3.7018400000000002,1,3,0,Rodrigo
9380,27822474,113964618,Centro,Universidad,Entire home/apt,50,40.42557,-3.7010199999999998,2,40,90,Leadman Trade España
9381,27823799,102947901,Centro,Justicia,Entire home/apt,47,40.42491,-3.6956300000000004,1,3,359,Claudia
9382,27823820,102947901,Moncloa - Aravaca,Argüelles,Entire home/apt,61,40.422670000000004,-3.7122,1,1,365,Claudia
9383,27823825,102947901,Centro,Embajadores,Entire home/apt,56,40.412079999999996,-3.70172,1,4,361,Claudia
9384,27824327,156842922,Centro,Justicia,Hotel room,89,40.42002,-3.70134,2,2,319,Georgian
9385,27824487,156842922,Centro,Justicia,Hotel room,89,40.421479999999995,-3.7009199999999995,2,2,266,Georgian
9386,27830062,30761411,Centro,Embajadores,Private room,133,40.411390000000004,-3.7029400000000003,2,4,0,Eli
9387,27832501,102947901,Chamberí,Rios Rosas,Entire home/apt,86,40.44011,-3.6966099999999997,1,6,359,Claudia
9388,27834596,210192466,Centro,Cortes,Entire home/apt,193,40.4127,-3.69904,1,17,1,Gregory
9389,27842969,210007255,Villaverde,Los Rosales,Private room,14,40.3588,-3.6856800000000005,3,70,14,Alexandra
9390,27843127,102671393,Salamanca,Goya,Entire home/apt,250,40.42456,-3.67982,15,1,0,Pablo
9391,27844432,207521732,Centro,Justicia,Entire home/apt,64,40.42022,-3.70135,2,69,360,Marcos Y Natalia.
9392,27850596,210333555,Carabanchel,Vista Alegre,Private room,24,40.38797,-3.73995,1,7,0,Yaneth
9393,27851118,210255839,Arganzuela,Acacias,Private room,54,40.40491,-3.70345,2,37,361,Toñi
9394,27852952,209040706,Centro,Universidad,Entire home/apt,86,40.427929999999996,-3.7097300000000004,1,156,127,Andrea & Dani
9395,27853056,44350780,Salamanca,Fuente del Berro,Private room,27,40.428709999999995,-3.66428,2,25,83,Mark
9396,27853368,210313799,Carabanchel,Comillas,Private room,35,40.39287,-3.71081,2,44,2,Maria Das Gracas
9397,27869659,70235951,Centro,Embajadores,Private room,400,40.41352,-3.70345,2,0,180,Chelsea
9398,27873155,145123279,Centro,Embajadores,Entire home/apt,64,40.411770000000004,-3.70644,2,38,364,Victor
9399,27876207,210584350,Centro,Embajadores,Entire home/apt,46,40.40762,-3.69999,1,2,365,Juan
9400,27882493,38352975,Centro,Palacio,Entire home/apt,74,40.41108,-3.714,5,15,61,Charo
9401,27887598,84213235,Centro,Cortes,Private room,62,40.41337,-3.7002900000000003,2,1,364,玲
9402,27889125,84213235,Centro,Cortes,Private room,53,40.41326,-3.6990199999999995,2,0,364,玲
9403,27889202,11233926,Centro,Justicia,Private room,50,40.424,-3.7004699999999997,1,8,365,Gabriel
9404,27889340,84213235,Centro,Cortes,Private room,49,40.414120000000004,-3.69876,2,0,247,玲
9405,27889441,24769692,Centro,Embajadores,Hotel room,25,40.40935,-3.7061,1,5,113,THC Latina Hostel
9406,27889484,24769692,Centro,Embajadores,Hotel room,37,40.40968,-3.70634,1,0,106,THC Latina Hostel
9407,27889509,24769692,Centro,Embajadores,Hotel room,37,40.41021,-3.7067900000000003,1,0,0,THC Latina Hostel
9408,27889660,84213235,Centro,Embajadores,Private room,59,40.412209999999995,-3.6999199999999997,2,2,269,玲
9409,27893584,74953502,Centro,Palacio,Entire home/apt,51,40.41237,-3.7094300000000002,2,82,279,Tomas
9410,27894364,189945292,Centro,Sol,Entire home/apt,69,40.4179,-3.7015300000000004,2,3,0,Hamsa
9411,27899892,158306838,Arganzuela,Legazpi,Hotel room,38,40.38645,-3.6857300000000004,2,13,0,Manuel
9412,27900400,206440128,Usera,Orcasur,Private room,24,40.37024,-3.7018199999999997,3,36,266,Claudia Lorena
9413,27905285,47923936,Centro,Palacio,Entire home/apt,64,40.42154,-3.71064,1,73,364,Karmen
9414,27915096,9885245,Centro,Palacio,Entire home/apt,34,40.40755,-3.7115400000000003,30,79,305,My Mad Madrid
9415,27920553,134835843,Carabanchel,Puerta Bonita,Private room,35,40.38596,-3.72911,2,2,179,Beatriz Eugenia
9416,27925513,113864545,Centro,Embajadores,Entire home/apt,81,40.410540000000005,-3.7075199999999997,1,14,332,Daniel&Andrea
9417,27926204,210948402,Centro,Embajadores,Entire home/apt,62,40.40977,-3.70603,2,96,66,Barbara
9418,27927692,198796089,Villaverde,San Andrés,Private room,600,40.34763,-3.7099,2,0,364,Carlos
9419,27928425,210966166,Puente de Vallecas,Palomeras Bajas,Entire home/apt,600,40.38373,-3.65596,1,2,365,Jonatan
9420,27929258,137677410,Ciudad Lineal,Quintana,Entire home/apt,40,40.43546,-3.6448400000000003,2,14,20,Mijail
9421,27929937,119018770,Puente de Vallecas,Numancia,Private room,14,40.39604,-3.6643199999999996,1,13,343,Alvaro
9422,27945493,28786243,Centro,Embajadores,Entire home/apt,144,40.4121,-3.7077699999999996,1,62,71,Emilio
9423,27947672,211103511,Centro,Palacio,Entire home/apt,70,40.42047,-3.70804,1,9,179,Victor
9424,27948892,15270744,Puente de Vallecas,Palomeras Bajas,Entire home/apt,44,40.39134,-3.6608699999999996,2,4,267,Julius
9425,27952694,210122314,Tetuán,Valdeacederas,Private room,21,40.46972,-3.70304,2,6,364,Aura Y Ginmary
9426,27954200,37048851,Carabanchel,Abrantes,Entire home/apt,53,40.38494,-3.7238800000000003,1,10,54,Nayden
9427,27954718,211151227,Chamberí,Arapiles,Private room,27,40.43687,-3.7103,1,6,297,Ana
9428,27960203,211189927,Ciudad Lineal,Ventas,Shared room,200,40.42402,-3.65415,1,0,179,Jose Maria
9429,27962043,16489438,Centro,Universidad,Private room,30,40.426970000000004,-3.70362,1,1,179,Rosemarie
9430,27972569,156842922,Centro,Sol,Hotel room,89,40.41997,-3.70166,2,1,356,Georgian
9431,27972908,156842922,Centro,Justicia,Hotel room,89,40.42046,-3.70108,2,1,260,Georgian
9432,27973031,156842922,Centro,Universidad,Hotel room,39,40.42038,-3.70159,2,0,351,Georgian
9433,27973161,156842922,Centro,Justicia,Hotel room,74,40.42116,-3.70108,2,0,265,Georgian
9434,27973298,156842922,Centro,Universidad,Hotel room,74,40.4216,-3.7027300000000003,2,0,342,Georgian
9435,27973397,156842922,Centro,Universidad,Hotel room,39,40.42118,-3.70152,2,0,246,Georgian
9436,27973498,156842922,Centro,Universidad,Hotel room,39,40.422,-3.7031400000000003,2,1,358,Georgian
9437,27973533,156842922,Centro,Universidad,Hotel room,39,40.42135,-3.70117,2,2,359,Georgian
9438,27973602,156842922,Centro,Universidad,Hotel room,76,40.42154,-3.70165,2,0,335,Georgian
9439,27973655,156842922,Centro,Universidad,Hotel room,39,40.42168,-3.70269,2,1,357,Georgian
9440,27973710,156842922,Centro,Sol,Hotel room,35,40.4198,-3.701,2,1,347,Georgian
9441,27973997,156842922,Centro,Universidad,Hotel room,81,40.42116,-3.7012199999999997,2,0,350,Georgian
9442,27974236,211284408,Centro,Embajadores,Entire home/apt,23,40.41055,-3.7065699999999997,2,82,336,Desiree
9443,27978607,19182063,Centro,Universidad,Private room,35,40.42208,-3.70232,4,57,0,John
9444,27978869,22679983,Centro,Embajadores,Entire home/apt,65,40.41338,-3.7022699999999995,1,47,349,Michael
9445,27980452,209227391,Moratalaz,Media Legua,Entire home/apt,84,40.41227,-3.65904,2,66,167,Ignacio
9446,27984441,52841463,Centro,Palacio,Entire home/apt,67,40.42098,-3.71024,2,124,308,Beatriz
9447,27985952,19182063,Centro,Universidad,Private room,35,40.42281,-3.70195,4,70,0,John
9448,27997530,9885245,Chamartín,Prosperidad,Entire home/apt,35,40.44314,-3.66966,2,72,360,My Mad Madrid
9449,27998829,162076373,Tetuán,Almenara,Private room,38,40.47251,-3.69363,2,38,0,Veronica
9450,27999941,92257396,Centro,Embajadores,Private room,32,40.40835,-3.70076,2,21,0,Ian James
9451,28000160,211475024,Tetuán,Cuatro Caminos,Entire home/apt,97,40.45006,-3.6964699999999997,3,19,81,Alvaro
9452,28017507,6903368,Centro,Justicia,Private room,65,40.42007,-3.69688,1,17,365,Miguel
9453,28019854,49642235,Hortaleza,Valdefuentes,Entire home/apt,400,40.49127,-3.65427,2,1,0,Roberto
9454,28020769,211635334,Retiro,Pacífico,Private room,40,40.40252,-3.67896,14,0,173,Raquel
9455,28021058,3402109,Hortaleza,Valdefuentes,Entire home/apt,65,40.48773,-3.67084,7,0,68,Clara
9456,28027042,11373637,Moratalaz,Fontarrón,Private room,35,40.40182,-3.63847,1,24,88,Lucía
9457,28028456,210253114,Centro,Cortes,Private room,51,40.41264,-3.69929,2,71,90,Jp
9458,28042269,901218,Centro,Cortes,Private room,18,40.41623,-3.6964599999999996,1,26,361,Myrko
9459,28042547,901218,Centro,Cortes,Private room,19,40.41641,-3.6958699999999998,1,13,361,Myrko
9460,28043670,35575308,Centro,Justicia,Private room,51,40.41933,-3.6978,1,52,0,Mario
9461,28045848,66643005,Centro,Embajadores,Entire home/apt,79,40.40932,-3.7008099999999997,2,3,0,Pello
9462,28047743,178918260,Centro,Universidad,Entire home/apt,62,40.42517,-3.7022,2,14,0,Raquel
9463,28049357,46959915,Tetuán,Almenara,Private room,17,40.46719,-3.6955400000000003,1,69,358,Andre
9464,28050289,86112510,Salamanca,Fuente del Berro,Private room,29,40.42539,-3.6614400000000002,2,1,0,Jaime José
9465,28051921,146337122,Moncloa - Aravaca,Ciudad Universitaria,Private room,20,40.45384,-3.71616,1,8,0,Gianfranco
9466,28057337,62227635,Centro,Universidad,Entire home/apt,31,40.42188,-3.7033199999999997,1,69,363,Su
9467,28058895,987393,Latina,Aluche,Private room,120,40.390809999999995,-3.75685,1,0,270,Silvia
9468,28062308,16219667,Centro,Justicia,Entire home/apt,140,40.421440000000004,-3.69775,3,65,0,L Leopoldo
9469,28066489,212016128,Barajas,Alameda de Osuna,Entire home/apt,121,40.45344,-3.60192,15,1,364,Vacaciones
9470,28069067,206857410,Puente de Vallecas,San Diego,Private room,40,40.38752,-3.6655,2,2,88,Meduzza
9471,28069969,206857410,Puente de Vallecas,Palomeras Bajas,Private room,24,40.3886,-3.6636800000000003,2,7,88,Meduzza
9472,28073366,210313799,Carabanchel,Comillas,Private room,33,40.391090000000005,-3.71149,1,64,1,Maria Das Gracas
9473,28074419,190636636,Ciudad Lineal,Pueblo Nuevo,Private room,25,40.42414,-3.63596,1,13,364,Viviana
9474,28089333,22321820,Centro,Sol,Entire home/apt,180,40.4161,-3.7039,3,42,350,Vanrays
9475,28090031,124742788,Usera,Almendrales,Entire home/apt,100,40.38288,-3.69706,3,0,123,Isabel
9476,28093510,163428612,Retiro,Jerónimos,Entire home/apt,379,40.41993,-3.68874,2,34,0,Healthy Karma
9477,28097054,212238308,Centro,Embajadores,Entire home/apt,126,40.41194,-3.7023099999999998,1,53,207,Macarena
9478,28097933,41755300,Ciudad Lineal,Pueblo Nuevo,Private room,26,40.430409999999995,-3.6377099999999998,2,23,8,Ruben
9479,28098438,206490044,Tetuán,Castillejos,Entire home/apt,80,40.46472,-3.69265,1,7,1,Jorge
9480,28099678,124742788,Usera,Almendrales,Private room,50,40.38165,-3.6962300000000003,2,5,143,Isabel
9481,28114384,77489120,Tetuán,Berruguete,Entire home/apt,110,40.45949,-3.70516,1,128,152,Pablo
9482,28119015,188303200,Puente de Vallecas,San Diego,Private room,35,40.38706,-3.6689,12,0,179,Martha
9483,28120654,211991262,Centro,Palacio,Hotel room,27,40.41735,-3.7085800000000004,1,24,211,Hostal Las Fuentes
9484,28120790,51647919,Centro,Universidad,Entire home/apt,429,40.4219,-3.7079400000000002,30,64,0,Jose Luis
9485,28120823,211991262,Centro,Palacio,Hotel room,34,40.41735,-3.7085800000000004,1,1,230,Hostal Las Fuentes
9486,28121571,211991262,Centro,Palacio,Hotel room,37,40.41735,-3.7085800000000004,1,11,192,Hostal Las Fuentes
9487,28129951,211991262,Centro,Palacio,Hotel room,47,40.41735,-3.7085800000000004,1,2,192,Hostal Las Fuentes
9488,28130028,211991262,Centro,Palacio,Hotel room,38,40.41735,-3.7085800000000004,1,4,192,Hostal Las Fuentes
9489,28130214,211991262,Centro,Palacio,Hotel room,55,40.41735,-3.7085800000000004,1,4,223,Hostal Las Fuentes
9490,28130390,211991262,Centro,Palacio,Hotel room,48,40.41735,-3.7085800000000004,1,1,192,Hostal Las Fuentes
9491,28130734,211991262,Centro,Palacio,Hotel room,28,40.41735,-3.7085800000000004,1,1,223,Hostal Las Fuentes
9492,28130778,211991262,Centro,Palacio,Hotel room,70,40.41735,-3.7085800000000004,1,1,223,Hostal Las Fuentes
9493,28130815,211991262,Centro,Palacio,Hotel room,33,40.41735,-3.7085800000000004,1,4,223,Hostal Las Fuentes
9494,28141817,212572141,Centro,Palacio,Entire home/apt,105,40.4134,-3.7078800000000003,2,36,364,"Host Gdiez,S.L."
9495,28144025,212454266,Centro,Embajadores,Entire home/apt,65,40.40873,-3.7094400000000003,3,30,0,Carlos
9496,28145712,37886438,Retiro,Adelfas,Private room,20,40.39845,-3.66972,2,115,169,Manuel
9497,28146754,8119585,Puente de Vallecas,Numancia,Entire home/apt,52,40.39973,-3.66647,3,22,0,Kyle
9498,28153809,87541040,Chamberí,Rios Rosas,Private room,35,40.440540000000006,-3.69665,1,12,0,Karina
9499,28156988,45931221,Tetuán,Bellas Vistas,Private room,25,40.452729999999995,-3.7073199999999997,1,7,90,David
9500,28159325,34331457,Centro,Embajadores,Private room,33,40.40763,-3.69668,13,36,123,Jay
9501,28167482,45935972,Centro,Justicia,Shared room,21,40.41993,-3.69825,1,27,180,Manuel
9502,28169958,99018982,Chamberí,Almagro,Entire home/apt,139,40.43629,-3.69335,1,6,246,Alterhome
9503,28170391,2564339,Centro,Palacio,Entire home/apt,111,40.42072,-3.7099699999999998,4,9,38,Alfonso & Guillermo
9504,28171624,181985578,Centro,Cortes,Entire home/apt,69,40.412409999999994,-3.69729,3,3,364,Maria Francis
9505,28172480,141849362,Moncloa - Aravaca,Ciudad Universitaria,Private room,300,40.464529999999996,-3.74864,1,0,89,Ho
9506,28172498,210253114,Centro,Cortes,Private room,32,40.413270000000004,-3.6981,2,56,365,Jp
9507,28175961,44985856,Moncloa - Aravaca,Casa de Campo,Private room,22,40.42272,-3.7174199999999997,2,64,363,Nelly
9508,28177193,167928798,Ciudad Lineal,Pueblo Nuevo,Entire home/apt,31,40.425540000000005,-3.64129,7,57,152,Javier Y Lucia
9509,28178039,102947901,Centro,Cortes,Entire home/apt,63,40.41438,-3.7005199999999996,1,1,250,Claudia
9510,28178043,102947901,Centro,Cortes,Entire home/apt,72,40.41487,-3.69869,1,17,360,Claudia
9511,28178536,201989406,Centro,Cortes,Hotel room,258,40.41598,-3.69982,1,0,95,11th Principe
9512,28178538,201989406,Centro,Cortes,Entire home/apt,298,40.41495,-3.6995699999999996,1,0,102,11th Principe
9513,28178539,201989406,Centro,Cortes,Entire home/apt,238,40.41656,-3.69924,1,0,102,11th Principe
9514,28178540,201989406,Centro,Cortes,Hotel room,208,40.41675,-3.69981,1,0,95,11th Principe
9515,28178892,22374109,Latina,Lucero,Entire home/apt,113,40.409440000000004,-3.74281,1,8,327,Meryem
9516,28188353,5447249,Centro,Cortes,Entire home/apt,40,40.419740000000004,-3.69951,2,14,164,Mercedes
9517,28195509,34757264,Centro,Sol,Entire home/apt,55,40.41786,-3.7018800000000005,15,3,85,Estefania
9518,28202580,45935972,Centro,Justicia,Shared room,21,40.42018,-3.69979,1,18,180,Manuel
9519,28204467,211737815,Moratalaz,Media Legua,Private room,30,40.411229999999996,-3.6558900000000003,1,3,89,Marly
9520,28209067,205946107,Carabanchel,Comillas,Private room,59,40.391909999999996,-3.7099,2,32,365,Elizabeth
9521,28212304,8815003,Chamartín,Hispanoamérica,Private room,25,40.4553,-3.6765199999999996,2,8,363,Maite
9522,28212544,213092449,Centro,Cortes,Entire home/apt,73,40.412420000000004,-3.69655,7,7,211,Patricia
9523,28214328,48033079,Centro,Universidad,Entire home/apt,91,40.42538,-3.70815,1,77,210,Isaac
